,bet_count,stake,regressed_stake,loss,loss_per_bet,declined_bet_count,accepted_bet_count,likelihood_of_declined,likelihood_of_accepted
244,2,1.122093812696757,1.1927401161803757,0.07064630348361867,0.03532315174180933,1,1,0.5,0.5
3190,2,0.9693094729238648,0.9693094729238648,0.0,0.0,0,2,0.0,1.0
5811,2,1.558754100881294,1.5585226448441176,0.00023145603717633634,0.00011572801858816817,0,2,0.0,1.0
4587,2,0.7250422631448808,0.9674507903192526,0.24240852717437178,0.12120426358718589,0,2,0.0,1.0
7259,2,0.49787462416654316,0.33106610360224614,0.166808520564297,0.0834042602821485,0,2,0.0,1.0
916,2,1.2377709966832708,1.1311226069709923,0.10664838971227852,0.05332419485613926,0,2,0.0,1.0
3896,2,1.5039146452066778,1.5039146452066778,0.0,0.0,0,2,0.0,1.0
10219,2,1.240192785785864,1.240192785785864,0.0,0.0,0,2,0.0,1.0
5898,2,1.5218258001457083,0.9999999999999993,0.521825800145709,0.2609129000728545,0,2,0.0,1.0
8284,2,0.7606104221185577,1.0,0.23938957788144233,0.11969478894072116,0,2,0.0,1.0
4560,2,1.3247811049912133,1.3464818994543242,0.021700794463110906,0.010850397231555453,0,2,0.0,1.0
8599,2,0.41329550901000034,0.3100392180926694,0.10325629091733096,0.05162814545866548,0,2,0.0,1.0
1478,2,0.8099055849190697,0.7463447841529323,0.06356080076613746,0.03178040038306873,0,2,0.0,1.0
5848,2,0.7761133609450698,0.9667584010727684,0.19064504012769867,0.09532252006384934,0,2,0.0,1.0
7145,2,1.4709905361432338,1.4709905361432338,0.0,0.0,0,2,0.0,1.0
2798,2,0.9271774823673737,0.8556555233749819,0.07152195899239189,0.035760979496195944,1,1,0.5,0.5
8463,2,1.7400049134354667,1.450746642123702,0.2892582713117646,0.1446291356558823,0,2,0.0,1.0
4676,2,1.0328671959299696,0.9999999999999997,0.032867195929969895,0.016433597964984947,0,2,0.0,1.0
8350,2,0.9274359385672808,1.2078133795359016,0.28037744096862083,0.14018872048431041,0,2,0.0,1.0
8494,2,0.8879967241417461,0.9999999999999993,0.1120032758582532,0.0560016379291266,0,2,0.0,1.0
7174,2,1.1658980576329354,1.1657559603280796,0.00014209730485581495,7.104865242790748e-05,0,2,0.0,1.0
10168,2,0.8735847159770613,0.8735847159770613,0.0,0.0,0,2,0.0,1.0
806,2,1.4665881012641913,1.6364506554326637,0.1698625541684724,0.0849312770842362,0,2,0.0,1.0
7247,2,0.9385742855523499,0.9386072423634478,3.2956811097939465e-05,1.6478405548969732e-05,0,2,0.0,1.0
